date,open,close,high,low,volume
2024-04-10,3514.390,3552.01,3587.290,3511.170,30644079585.000
2024-04-11,3480.300,3538.39,3553.460,3480.300,22180957984.000
2024-04-12,3523.710,3474.47,3549.310,3472.430,26428620548.000
2024-04-15,3408.050,3442.49,3452.600,3392.270,21045364494.000
2024-04-16,3377.330,3337.85,3399.060,3318.940,25172465426.000
2024-04-17,3340.710,3340.22,3374.510,3306.290,18699217321.000
2024-04-18,3333.750,3356.82,3391.450,3301.860,20840970666.000
2024-04-19,3308.770,3278.06,3308.770,3233.760,26158572314.000
2024-04-22,3318.190,3336.35,3374.110,3292.950,30141381824.000
2024-04-23,3394.360,3449.1,3456.890,3376.360,37883662712.000
2024-04-24,3495.130,3573.59,3577.580,3474.890,44745647951.000
2024-04-25,3556.410,3554.3,3616.170,3526.880,31411220537.000
2024-04-26,3568.440,3718.27,3738.180,3568.440,45972077744.000
2024-04-29,3728.660,3713.32,3805.880,3706.180,42368023514.000
2024-04-30,3744.190,3700.67,3760.980,3681.910,27228374029.000
2024-05-02,3700.230,3865.48,3870.240,3683.620,34835936940.000
2024-05-03,4009.960,3971.29,4023.430,3922.860,37037812861.000
2024-05-06,3982.250,4007.78,4021.690,3952.860,39822127853.000
2024-05-07,4002.760,3922.54,4005.320,3909.930,31161429514.000
2024-05-08,3921.100,3872.01,3962.630,3859.550,38218236255.000
2024-05-09,3874.440,3947.41,3955.970,3868.670,30975087487.000
2024-05-10,3975.750,3962.32,4002.660,3899.830,30620029792.000
2024-05-13,3925.190,4018.69,4031.090,3906.360,33817887368.000
2024-05-14,4072.890,4041.45,4111.560,4038.680,39410188927.000
2024-05-16,4091.590,4072.15,4097.820,4024.420,56759257011.000
2024-05-17,4135.360,4112.59,4162.510,4073.610,45023936195.000
2024-05-20,4124.360,4135.38,4155.870,4111.510,37969071875.000
2024-05-21,4079.110,3980.63,4087.810,3963.820,40518603649.000
2024-05-22,3987.620,3992.59,4036.700,3957.180,33434983401.000
2024-05-23,3972.810,3896.19,3972.810,3882.450,39408488243.000
2024-05-24,3865.170,3799.47,3890.370,3780.160,32914020562.000
2024-05-27,3801.720,3864.48,3876.440,3751.130,33106864325.000
2024-05-28,3868.150,3854.57,3921.200,3839.030,23525839245.000
2024-05-29,3821.110,3765.24,3823.960,3747.540,35817527446.000
2024-05-30,3752.110,3752.76,3809.280,3735.630,31178277127.000
2024-05-31,3814.420,3690.76,3847.120,3684.850,56445642906.000
2024-06-03,3744.430,3784.04,3820.060,3740.460,34068327216.000
2024-06-04,3756.140,3796.17,3813.270,3756.140,23907890957.000
2024-06-05,3797.230,3807.73,3867.640,3786.230,28357068723.000
2024-06-06,3859.910,3840.66,3886.310,3813.280,32614393320.000
