date,close
1960-12-31,56.8
1961-01-31,59.72
1961-02-28,62.17
1961-03-31,64.12
1961-04-30,65.83
1961-05-31,66.5
1961-06-30,65.62
1961-07-31,65.44
1961-08-31,67.79
1961-09-30,67.26
1961-10-31,68.0
1961-11-30,71.08
1961-12-31,71.74
1962-01-31,69.07
1962-02-28,70.22
1962-03-31,70.29
1962-04-30,68.05
1962-05-31,62.99
1962-06-30,55.63
1962-07-31,56.97
1962-08-31,58.52
1962-09-30,58.0
1962-10-31,56.17
1962-11-30,60.04
1962-12-31,62.64
1963-01-31,65.06
1963-02-28,65.92
1963-03-31,65.67
1963-04-30,68.76
1963-05-31,70.14
1963-06-30,70.11
1963-07-31,69.07
1963-08-31,70.98
1963-09-30,72.85
1963-10-31,73.03
1963-11-30,72.62
1963-12-31,74.17
1964-01-31,76.45
1964-02-29,77.39
1964-03-31,78.8
1964-04-30,79.94
1964-05-31,80.72
1964-06-30,80.24
1964-07-31,83.22
1964-08-31,82.0
1964-09-30,83.41
1964-10-31,84.85
1964-11-30,85.44
1964-12-31,83.96
1965-01-31,86.12
1965-02-28,86.75
1965-03-31,86.83
1965-04-30,87.97
1965-05-31,89.28
1965-06-30,85.04
1965-07-31,84.91
1965-08-31,86.49
1965-09-30,89.38
1965-10-31,91.39
1965-11-30,92.15
1965-12-31,91.73
1966-01-31,93.32
1966-02-28,92.69
1966-03-31,88.88
1966-04-30,91.6
1966-05-31,86.78
1966-06-30,86.06
1966-07-31,85.84
1966-08-31,80.65
1966-09-30,77.81
1966-10-31,77.13
1966-11-30,80.99
1966-12-31,81.33
1967-01-31,84.45
1967-02-28,87.36
1967-03-31,89.42
1967-04-30,90.96
1967-05-31,92.59
1967-06-30,91.43
1967-07-31,93.01
1967-08-31,94.49
1967-09-30,95.81
1967-10-31,95.66
1967-11-30,92.66
1967-12-31,95.3
1968-01-31,95.04
1968-02-29,90.75
1968-03-31,89.09
1968-04-30,95.67
1968-05-31,97.87
1968-06-30,100.5
1968-07-31,100.3
1968-08-31,98.11
1968-09-30,101.3
1968-10-31,103.8
1968-11-30,105.4
1968-12-31,106.5
1969-01-31,102.0
1969-02-28,101.5
1969-03-31,99.3
1969-04-30,101.3
1969-05-31,104.6
1969-06-30,99.14
1969-07-31,94.71
1969-08-31,94.18
1969-09-30,94.51
1969-10-31,95.52
1969-11-30,96.21
1969-12-31,91.11
1970-01-31,90.31
1970-02-28,87.16
1970-03-31,88.65
1970-04-30,85.95
1970-05-31,76.06
1970-06-30,75.59
1970-07-31,75.72
1970-08-31,77.92
1970-09-30,82.58
1970-10-31,84.37
1970-11-30,84.28
1970-12-31,90.05
1971-01-31,93.49
1971-02-28,97.11
1971-03-31,99.6
1971-04-30,103.0
1971-05-31,101.6
1971-06-30,99.72
1971-07-31,99.0
1971-08-31,97.24
1971-09-30,99.4
1971-10-31,97.29
1971-11-30,92.78
1971-12-31,99.17
1972-01-31,103.3
1972-02-29,105.2
1972-03-31,107.7
1972-04-30,108.8
1972-05-31,107.7
1972-06-30,108.0
1972-07-31,107.2
